clip,gap_length,condition,dyad,turn_num,turn_start_msec,video_num,laughter,,
127_2104_110_106.mov,2104,strangers,110_106,39,134274,127,no,,
128_2010_110_106.mov,2010,strangers,110_106,69,226979,128,yes,,
129_3147_110_106.mov,3147,strangers,110_106,122,409572,129,no,,
130_2996_110_106.mov,2996,strangers,110_106,141,531913,130,no,,
131_2123_22_23.mov,2123,strangers,22_23,76,239515,131,no,,
132_3335_3_7.mov,3335,strangers,3_7,101,373825,132,yes,,
133_2101_3_7.mov,2101,strangers,3_7,135,501441,133,yes,,
134_2196_80_86.mov,2196,strangers,80_86,76,292104,134,no,,
135_2400_1_8.mov,2400,strangers,1_8,213,570242,135,yes,,
136_3017_40_46.mov,3017,strangers,40_46,29,82896,136,no,,
137_2960_40_46.mov,2960,strangers,40_46,86,317183,137,no,,
138_2700_40_46.mov,2700,strangers,40_46,91,367607,138,yes,,
139_3002_40_46.mov,3002,strangers,40_46,109,416518,139,no,,
140_2202_105_106.mov,2202,strangers,105_106,14,20959,140,no,,
141_4083_105_106.mov,4083,strangers,105_106,45,119981,141,no,,
142_2076_105_106.mov,2076,strangers,105_106,54,143048,142,no,,
143_2178_105_106.mov,2178,strangers,105_106,110,286294,143,yes,,
144_3031_105_106.mov,3031,strangers,105_106,115,301152,144,no,,
145_2537_105_106.mov,2537,strangers,105_106,118,309261,145,no,,
146_3342_105_106.mov,3342,strangers,105_106,142,367017,146,yes,,
147_4591_105_106.mov,4591,strangers,105_106,145,375038,147,yes,,
148_2034_105_106.mov,2034,strangers,105_106,146,380576,148,no,,
149_4942_105_106.mov,4942,strangers,105_106,163,451349,149,yes,,
150_2082_105_106.mov,2082,strangers,105_106,176,492617,150,yes,,
151_4140_105_106.mov,4140,strangers,105_106,203,589118,151,yes,,
152_2141_89_87.mov,2141,strangers,89_87,58,232637,152,no,,
153_2632_89_87.mov,2632,strangers,89_87,68,288320,153,no,,
154_2097_104_103.mov,2097,strangers,104_103,42,173851,154,no,,
155_2640_104_103.mov,2640,strangers,104_103,126,483111,155,no,,
156_3896_85_87.mov,3896,strangers,85_87,39,139010,156,yes,,
157_2610_40_47.mov,2610,strangers,40_47,16,94069,157,yes,,
158_4125_40_47.mov,4125,strangers,40_47,39,347084,158,no,,
159_2104_40_47.mov,2104,strangers,40_47,46,451902,159,no,,
160_3635_40_47.mov,3635,strangers,40_47,51,518965,160,no,,
161_4079_61_62.mov,4079,strangers,61_62,62,287614,161,no,,
162_2382_61_62.mov,2382,strangers,61_62,65,300769,162,no,,
163_2090_20_28.mov,2090,strangers,20_28,28,104968,163,no,,
164_2591_85_90.mov,2591,strangers,85_90,164,536741,164,yes,,
165_2309_85_84.mov,2309,strangers,85_84,30,89326,165,yes,,
166_3576_85_84.mov,3576,strangers,85_84,32,95274,166,yes,,
167_2086_85_84.mov,2086,strangers,85_84,79,273282,167,yes,,
168_3646_85_84.mov,3646,strangers,85_84,81,280290,168,yes,,
169_2960_85_84.mov,2960,strangers,85_84,113,420207,169,yes,,
170_3351_85_84.mov,3351,strangers,85_84,119,490496,170,no,,
