convo,subID,partnerID,n_total,condition,n_long_500,freq_long_500,n_long_750,freq_long_750,n_long_1000,freq_long_1000,n_long_1250,freq_long_1250,n_long_1500,freq_long_1500,n_long_1750,freq_long_1750,n_long_2000,freq_long_2000,n_long_2250,freq_long_2250,n_long_2500,freq_long_2500,n_long_2750,freq_long_2750,n_long_3000,freq_long_3000
28_24,24,28,115.0,strangers_pure,27.0,0.23478260869565218,14.0,0.12173913043478261,8.0,0.06956521739130435,4.0,0.034782608695652174,2.0,0.017391304347826087,2.0,0.017391304347826087,1.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_108,107,108,200.0,strangers_pure,15.0,0.075,6.0,0.03,4.0,0.02,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_108,108,107,200.0,strangers_pure,15.0,0.075,6.0,0.03,4.0,0.02,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44_49,44,49,81.0,strangers_pure,9.0,0.1111111111111111,2.0,0.024691358024691357,2.0,0.024691358024691357,1.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44_49,49,44,81.0,strangers_pure,9.0,0.1111111111111111,2.0,0.024691358024691357,2.0,0.024691358024691357,1.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_30,24,30,159.0,strangers_pure,22.0,0.13836477987421383,7.0,0.0440251572327044,2.0,0.012578616352201259,1.0,0.006289308176100629,1.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_30,30,24,159.0,strangers_pure,22.0,0.13836477987421383,7.0,0.0440251572327044,2.0,0.012578616352201259,1.0,0.006289308176100629,1.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_7,4,7,183.0,strangers_pure,25.0,0.1366120218579235,11.0,0.060109289617486336,7.0,0.03825136612021858,4.0,0.02185792349726776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_7,7,4,183.0,strangers_pure,25.0,0.1366120218579235,11.0,0.060109289617486336,7.0,0.03825136612021858,4.0,0.02185792349726776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_7,6,7,167.0,strangers_pure,63.0,0.3772455089820359,31.0,0.18562874251497005,19.0,0.11377245508982035,15.0,0.08982035928143713,12.0,0.0718562874251497,9.0,0.05389221556886228,7.0,0.041916167664670656,6.0,0.03592814371257485,3.0,0.017964071856287425,3.0,0.017964071856287425,2.0,0.011976047904191617
6_7,7,6,167.0,strangers_pure,63.0,0.3772455089820359,31.0,0.18562874251497005,19.0,0.11377245508982035,15.0,0.08982035928143713,12.0,0.0718562874251497,9.0,0.05389221556886228,7.0,0.041916167664670656,6.0,0.03592814371257485,3.0,0.017964071856287425,3.0,0.017964071856287425,2.0,0.011976047904191617
4_5,4,5,119.0,strangers_pure,22.0,0.18487394957983194,9.0,0.07563025210084033,2.0,0.01680672268907563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_5,5,4,119.0,strangers_pure,22.0,0.18487394957983194,9.0,0.07563025210084033,2.0,0.01680672268907563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
