subID,partnerID,dyad,connection_3_before,connection_2_before,connection_1_before,connection_long_gap,connection_1_after,connection_2_after,connection_3_after,gap_length,speaker,speaker_switch,change_in_connection_3_before,change_in_connection_2_before,change_in_connection_1_before,change_in_connection_1_after,change_in_connection_2_after,change_in_connection_3_after,condition
103.0,102.0,102_103,89.35,89.0,89.0,89.13793103448276,88.15,87.0,87.0,2917.0,self,yes,0.21206896551723275,-0.13793103448276156,-0.13793103448276156,-0.9879310344827559,-2.1379310344827616,-2.1379310344827616,strangers
102.0,103.0,102_103,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2719.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
103.0,102.0,102_103,74.0,74.0,65.9,63.0,63.0,63.0,63.0,2719.0,self,yes,11.0,11.0,2.9000000000000057,0.0,0.0,0.0,strangers
102.0,103.0,102_103,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2016.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
103.0,102.0,102_103,85.0,86.25,72.35,35.9,20.55,10.55,22.4,2016.0,self,yes,49.1,50.35,36.449999999999996,-15.349999999999998,-25.349999999999998,-13.5,strangers
6.0,3.0,6_3,36.0,36.0,36.0,36.0,36.0,36.0,36.4,2352.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,strangers
3.0,6.0,6_3,70.89473684210526,56.05263157894737,41.73684210526316,41.0,41.5,49.55,48.25,2352.0,self,yes,29.89473684210526,15.05263157894737,0.7368421052631575,0.5,8.549999999999997,7.25,strangers
6.0,3.0,6_3,48.0,48.0,48.0,48.0,48.0,48.0,48.0,2440.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
3.0,6.0,6_3,100.0,62.8,39.9,43.125,49.0,59.0,23.95,2440.0,other,yes,56.875,19.674999999999997,-3.2250000000000014,5.875,15.875,-19.175,strangers
6.0,3.0,6_3,59.0,59.0,59.0,59.0,59.0,59.0,59.0,2886.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
3.0,6.0,6_3,58.6,82.0,82.0,82.0,82.0,82.0,82.0,2886.0,self,yes,-23.4,0.0,0.0,0.0,0.0,0.0,strangers
110.0,103.0,103_110,15.0,15.0,15.0,15.0,14.5,13.0,13.0,2057.0,self,yes,0.0,0.0,0.0,-0.5,-2.0,-2.0,strangers
103.0,110.0,103_110,23.0,23.0,22.15,22.0,22.0,22.0,22.0,2057.0,other,yes,1.0,1.0,0.14999999999999858,0.0,0.0,0.0,strangers
110.0,103.0,103_110,15.0,14.05,13.0,13.0,13.0,13.0,12.05,2588.0,other,no,2.0,1.0500000000000007,0.0,0.0,0.0,-0.9499999999999993,strangers
103.0,110.0,103_110,20.0,57.1,72.0,72.0,72.0,72.35,75.75,2588.0,self,no,-52.0,-14.899999999999999,0.0,0.0,0.3499999999999943,3.75,strangers
110.0,103.0,103_110,16.0,15.2,15.0,15.0,15.0,10.55,12.45,2033.0,self,yes,1.0,0.1999999999999993,0.0,0.0,-4.449999999999999,-2.5500000000000007,strangers
103.0,110.0,103_110,71.0,71.0,71.0,69.33333333333333,68.15,69.0,75.4,2033.0,other,yes,1.6666666666666714,1.6666666666666714,1.6666666666666714,-1.183333333333323,-0.3333333333333286,6.066666666666677,strangers
110.0,103.0,103_110,11.05,11.0,11.0,11.0,11.0,11.0,11.0,2370.0,other,yes,0.05000000000000071,0.0,0.0,0.0,0.0,0.0,strangers
103.0,110.0,103_110,63.3,70.0,70.0,70.0,70.0,70.0,70.0,2370.0,self,yes,-6.700000000000003,0.0,0.0,0.0,0.0,0.0,strangers
110.0,103.0,103_110,6.55,8.0,8.0,8.0,9.2,10.0,10.0,2139.0,self,yes,-1.4500000000000002,0.0,0.0,1.1999999999999993,2.0,2.0,strangers
103.0,110.0,103_110,84.0,85.95,85.5,65.61904761904762,65.0,65.0,64.95,2139.0,other,yes,18.38095238095238,20.330952380952382,19.88095238095238,-0.6190476190476204,-0.6190476190476204,-0.6690476190476176,strangers
68.0,65.0,65_68,49.0,49.0,48.9,43.67857142857143,44.0,44.0,44.05,2781.0,other,yes,5.321428571428569,5.321428571428569,5.221428571428568,0.3214285714285694,0.3214285714285694,0.37142857142856656,strangers
65.0,68.0,65_68,0.0,0.0,0.0,0.0,3.1,24.35,24.0,2781.0,self,yes,0.0,0.0,0.0,3.1,24.35,24.0,strangers
68.0,65.0,65_68,50.0,50.0,50.0,50.0,50.0,50.0,49.45,2820.0,self,yes,0.0,0.0,0.0,0.0,0.0,-0.5499999999999972,strangers
65.0,68.0,65_68,37.0,37.0,37.0,37.0,37.0,37.0,37.0,2820.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
64.0,60.0,60_64,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2304.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60.0,64.0,60_64,71.0,71.0,71.0,71.0,71.0,71.0,71.0,2304.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
90.0,86.0,86_90,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2269.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
86.0,90.0,86_90,70.3,70.7,68.6,68.0,68.0,68.0,68.0,2269.0,self,yes,2.299999999999997,2.700000000000003,0.5999999999999943,0.0,0.0,0.0,strangers
26.0,30.0,26_30,56.0,56.0,56.0,56.0,56.0,56.0,56.0,2224.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
30.0,26.0,26_30,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2224.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26.0,30.0,26_30,58.0,58.0,58.0,58.0,58.0,58.0,58.0,5029.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
30.0,26.0,26_30,24.0,24.0,24.0,24.0,24.0,24.0,24.0,5029.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60.0,65.0,60_65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65.0,60.0,60_65,0.0,0.0,0.0,0.0,0.0,1.05,4.0,2027.0,other,yes,0.0,0.0,0.0,0.0,1.05,4.0,strangers
60.0,65.0,60_65,84.0,84.0,84.0,84.0,84.0,84.0,84.0,2628.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65.0,60.0,60_65,57.0,57.0,57.0,57.0,57.0,57.0,57.0,2628.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60.0,65.0,60_65,84.0,84.0,84.0,84.0,84.0,84.0,84.0,2128.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65.0,60.0,60_65,57.0,57.0,57.0,57.0,57.0,57.0,57.0,2128.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60.0,65.0,60_65,84.0,84.0,84.0,84.0,84.0,84.0,84.0,2199.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65.0,60.0,60_65,57.0,57.0,57.0,57.81818181818182,69.0,70.0,70.0,2199.0,self,yes,-0.8181818181818201,-0.8181818181818201,-0.8181818181818201,11.18181818181818,12.18181818181818,12.18181818181818,strangers
65.0,69.0,65_69,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2508.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
69.0,65.0,65_69,57.0,57.0,57.0,57.0,59.35,63.35,63.0,2508.0,other,yes,0.0,0.0,0.0,2.3500000000000014,6.350000000000001,6.0,strangers
65.0,69.0,65_69,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2026.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
69.0,65.0,65_69,63.0,68.1,70.0,70.0,70.0,70.0,70.0,2026.0,self,yes,-7.0,-1.9000000000000057,0.0,0.0,0.0,0.0,strangers
65.0,69.0,65_69,59.0,59.0,59.0,59.0,59.0,59.0,59.0,2100.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
69.0,65.0,65_69,91.0,91.0,91.0,91.0,91.0,91.0,91.0,2100.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65.0,69.0,65_69,70.0,70.0,70.0,70.0,70.0,70.0,70.0,3540.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
69.0,65.0,65_69,85.0,85.0,87.1,90.0,89.85,78.05,68.35,3540.0,self,yes,-5.0,-5.0,-2.9000000000000057,-0.15000000000000568,-11.950000000000003,-21.650000000000006,strangers
65.0,69.0,65_69,70.0,70.0,70.0,70.0,70.0,70.0,70.1,2498.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.09999999999999432,strangers
69.0,65.0,65_69,86.6,90.0,90.0,88.6,72.3,68.0,68.05,2498.0,other,yes,-2.0,1.4000000000000057,1.4000000000000057,-16.299999999999997,-20.599999999999994,-20.549999999999997,strangers
84.0,81.0,84_81,9.0,10.9,12.0,12.0,12.0,12.0,12.0,2220.0,other,yes,-3.0,-1.0999999999999996,0.0,0.0,0.0,0.0,strangers
81.0,84.0,84_81,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2220.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
84.0,81.0,84_81,16.0,15.65,15.0,15.0,15.0,15.0,15.0,3392.0,other,yes,1.0,0.6500000000000004,0.0,0.0,0.0,0.0,strangers
81.0,84.0,84_81,67.0,67.0,67.0,67.0,67.0,67.0,67.0,3392.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
22.0,20.0,20_22,80.0,80.0,79.8,82.0,82.0,82.0,82.0,2322.0,other,yes,-2.0,-2.0,-2.200000000000003,0.0,0.0,0.0,strangers
20.0,22.0,20_22,70.8,69.0,69.0,69.0,69.0,69.0,69.0,2322.0,self,yes,1.7999999999999972,0.0,0.0,0.0,0.0,0.0,strangers
63.0,66.0,66_63,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2281.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
66.0,63.0,66_63,49.0,49.0,49.25,51.130434782608695,52.0,52.0,52.0,2281.0,self,yes,-2.1304347826086953,-2.1304347826086953,-1.8804347826086953,0.8695652173913047,0.8695652173913047,0.8695652173913047,strangers
110.0,108.0,108_110,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2133.0,other,no,0.0,0.0,0.0,0.0,0.0,0.0,strangers
108.0,110.0,108_110,79.0,79.0,79.0,79.0,79.0,79.0,79.0,2133.0,self,no,0.0,0.0,0.0,0.0,0.0,0.0,strangers
22.0,27.0,22_27,39.0,39.0,39.0,35.77272727272727,33.0,33.0,33.0,2248.0,other,yes,3.2272727272727266,3.2272727272727266,3.2272727272727266,-2.7727272727272734,-2.7727272727272734,-2.7727272727272734,strangers
27.0,22.0,22_27,68.0,68.0,68.0,68.0,68.0,68.0,68.0,2248.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
22.0,27.0,22_27,5.0,5.0,9.85,12.545454545454545,5.15,0.4,0.0,2256.0,self,yes,-7.545454545454545,-7.545454545454545,-2.6954545454545453,-7.395454545454545,-12.145454545454545,-12.545454545454545,strangers
