subID,partnerID,dyad,connection_3_before,connection_2_before,connection_1_before,connection_long_gap,connection_1_after,connection_2_after,connection_3_after,gap_length,change_in_connection_3_before,change_in_connection_2_before,change_in_connection_1_before,change_in_connection_1_after,change_in_connection_2_after,change_in_connection_3_after,condition
102,104,102_104,29.85,30.0,32.7,35.0,35.0,35.0,35.35,2138.0,-5.149999999999999,-5.0,-2.299999999999997,0.0,0.0,0.3500000000000014,strangers
104,102,102_104,10.5,10.0,10.0,10.0,10.0,10.0,10.0,2138.0,0.5,0.0,0.0,0.0,0.0,0.0,strangers
102,104,102_104,64.0,62.85,67.95,68.0,68.0,68.0,61.0,2012.0,-4.0,-5.149999999999999,-0.04999999999999716,0.0,0.0,-7.0,strangers
104,102,102_104,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,104,102_104,58.0,58.0,58.0,58.30434782608695,61.0,61.0,61.0,2260.0,-0.30434782608695343,-0.30434782608695343,-0.30434782608695343,2.6956521739130466,2.6956521739130466,2.6956521739130466,strangers
104,102,102_104,30.0,30.0,30.0,30.0,33.8,34.0,34.0,2260.0,0.0,0.0,0.0,3.799999999999997,4.0,4.0,strangers
88,85,88_85,75.65,75.5,75.0,75.0,75.0,75.0,75.0,2217.0,0.6500000000000057,0.5,0.0,0.0,0.0,0.0,strangers
85,88,88_85,47.0,47.0,47.0,47.0,47.0,47.0,44.9,2217.0,0.0,0.0,0.0,0.0,0.0,-2.1000000000000014,strangers
88,85,88_85,68.0,68.0,68.0,68.0,68.0,68.0,68.0,5539.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
85,88,88_85,63.0,63.0,61.95,47.4,28.45,31.7,32.4,5539.0,15.600000000000001,15.600000000000001,14.550000000000004,-18.95,-15.7,-15.0,strangers
88,85,88_85,68.0,68.0,68.0,68.0,68.0,68.0,68.0,2153.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
85,88,88_85,74.35,75.0,75.0,75.0,75.0,75.0,75.0,2153.0,-0.6500000000000057,0.0,0.0,0.0,0.0,0.0,strangers
81,88,81_88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2796.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
88,81,81_88,57.0,57.85,58.0,58.0,58.0,58.7,60.0,2796.0,-1.0,-0.14999999999999858,0.0,0.0,0.7000000000000028,2.0,strangers
41,45,41_45,41.0,41.0,41.0,41.0,41.0,41.0,41.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
45,41,41_45,74.0,74.0,74.2,75.0,75.0,75.0,75.0,2140.0,-1.0,-1.0,-0.7999999999999972,0.0,0.0,0.0,strangers
41,45,41_45,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2270.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
45,41,41_45,85.0,85.0,85.0,85.0,85.0,85.0,85.0,2270.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
41,45,41_45,55.0,55.0,55.0,55.0,55.0,55.0,55.0,2638.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
45,41,41_45,78.0,78.0,78.0,78.0,78.0,80.9,86.0,2638.0,0.0,0.0,0.0,0.0,2.9000000000000057,8.0,strangers
21,28,21_28,69.95,70.0,70.0,76.80645161290323,78.6,77.35,73.2,3045.0,-6.8564516129032285,-6.806451612903231,-6.806451612903231,1.793548387096763,0.543548387096763,-3.6064516129032285,strangers
28,21,21_28,72.0,72.0,72.0,34.12903225806452,25.6,28.8,40.45,3045.0,37.87096774193548,37.87096774193548,37.87096774193548,-8.529032258064518,-5.329032258064519,6.320967741935483,strangers
43,40,43_40,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2413.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
40,43,43_40,72.0,72.0,72.0,72.0,72.0,72.0,72.0,2413.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
6,7,6_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
7,6,6_7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2130.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
6,7,6_7,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
7,6,6_7,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
6,7,6_7,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2365.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
7,6,6_7,22.0,22.0,22.0,22.0,22.0,25.75,31.0,2365.0,0.0,0.0,0.0,0.0,3.75,9.0,strangers
6,7,6_7,17.15,25.0,25.0,25.0,25.0,25.0,25.0,2399.0,-7.850000000000001,0.0,0.0,0.0,0.0,0.0,strangers
7,6,6_7,31.0,31.0,31.0,31.0,31.0,31.0,31.0,2399.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
6,7,6_7,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3003.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
7,6,6_7,51.0,51.0,51.3,56.8,57.0,57.0,57.0,3003.0,-5.799999999999997,-5.799999999999997,-5.5,0.20000000000000284,0.20000000000000284,0.20000000000000284,strangers
6,7,6_7,48.0,48.0,48.0,30.77777777777778,30.0,30.0,30.0,4523.0,17.22222222222222,17.22222222222222,17.22222222222222,-0.7777777777777786,-0.7777777777777786,-0.7777777777777786,strangers
7,6,6_7,57.0,57.0,57.0,57.0,60.9,62.0,62.0,4523.0,0.0,0.0,0.0,3.8999999999999986,5.0,5.0,strangers
6,7,6_7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2388.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
7,6,6_7,62.0,62.0,62.0,62.0,62.0,62.0,62.0,2388.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,107,102_107,64.0,64.0,64.0,64.0,64.0,64.0,60.35,2016.0,0.0,0.0,0.0,0.0,0.0,-3.6499999999999986,strangers
107,102,102_107,76.0,77.2,78.0,78.0,78.0,78.0,74.75,2016.0,-2.0,-0.7999999999999972,0.0,0.0,0.0,-3.25,strangers
60,62,60_62,46.0,46.0,47.65,48.0,40.15,39.05,39.0,2066.0,-2.0,-2.0,-0.3500000000000014,-7.850000000000001,-8.950000000000003,-9.0,strangers
62,60,60_62,46.55,49.15,50.0,50.0,50.0,50.0,50.0,2066.0,-3.450000000000003,-0.8500000000000014,0.0,0.0,0.0,0.0,strangers
60,62,60_62,40.0,40.0,40.0,38.96774193548387,35.0,35.0,35.0,3082.0,1.0322580645161281,1.0322580645161281,1.0322580645161281,-3.967741935483872,-3.967741935483872,-3.967741935483872,strangers
62,60,60_62,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3082.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60,62,60_62,82.0,82.0,81.05,81.0,81.0,81.0,81.0,2133.0,1.0,1.0,0.04999999999999716,0.0,0.0,0.0,strangers
62,60,60_62,57.0,57.0,57.0,57.0,57.0,57.0,57.0,2133.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
70,67,70_67,96.0,96.0,96.0,96.0,96.0,96.0,96.0,4873.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
67,70,70_67,36.0,36.0,36.0,36.0,36.0,36.0,36.0,4873.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
88,87,88_87,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2415.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
87,88,88_87,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2415.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
88,87,88_87,93.0,93.0,93.0,93.0,93.0,93.0,93.0,2459.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
87,88,88_87,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2459.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
41,46,41_46,23.0,23.0,23.0,23.0,23.0,23.0,23.0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46,41,41_46,37.0,37.0,37.0,37.04761904761905,38.0,38.0,38.0,2057.0,-0.047619047619051,-0.047619047619051,-0.047619047619051,0.952380952380949,0.952380952380949,0.952380952380949,strangers
41,46,41_46,27.0,27.0,27.0,27.0,27.0,27.0,27.0,3849.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46,41,41_46,35.0,35.0,35.0,35.0,35.0,35.0,35.0,3849.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60,63,60_63,93.0,94.0,94.0,92.18181818181819,86.7,85.0,85.0,2127.0,0.818181818181813,1.818181818181813,1.818181818181813,-5.481818181818184,-7.181818181818187,-7.181818181818187,strangers
63,60,60_63,68.25,69.0,69.0,69.0,69.0,69.0,69.0,2127.0,-0.75,0.0,0.0,0.0,0.0,0.0,strangers
102,106,102_106,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2555.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106,102,102_106,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2555.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,106,102_106,70.0,70.0,70.0,70.0,70.0,70.0,70.0,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106,102,102_106,49.0,49.0,49.0,49.0,49.0,49.0,49.0,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,106,102_106,70.0,70.0,70.0,70.0,70.0,69.8,67.6,2303.0,0.0,0.0,0.0,0.0,-0.20000000000000284,-2.4000000000000057,strangers
106,102,102_106,49.0,49.0,49.0,49.0,49.0,49.0,49.0,2303.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,106,102_106,64.0,64.0,64.0,64.0,64.0,63.65,61.0,2094.0,0.0,0.0,0.0,0.0,-0.3500000000000014,-3.0,strangers
106,102,102_106,41.0,41.0,41.0,41.0,41.0,41.0,41.0,2094.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,106,102_106,62.0,61.8,63.0,63.91428571428571,64.0,64.0,64.0,3457.0,-1.914285714285711,-2.114285714285714,-0.914285714285711,0.08571428571428896,0.08571428571428896,0.08571428571428896,strangers
106,102,102_106,41.0,41.0,41.0,42.628571428571426,44.0,44.0,44.0,3457.0,-1.6285714285714263,-1.6285714285714263,-1.6285714285714263,1.3714285714285737,1.3714285714285737,1.3714285714285737,strangers
102,106,102_106,63.8,64.0,64.0,64.0,64.0,63.6,56.4,2390.0,-0.20000000000000284,0.0,0.0,0.0,-0.3999999999999986,-7.600000000000001,strangers
106,102,102_106,41.45,44.0,44.0,44.0,44.0,44.0,44.0,2390.0,-2.549999999999997,0.0,0.0,0.0,0.0,0.0,strangers
102,106,102_106,56.0,56.0,56.0,56.0,56.0,56.0,56.0,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106,102,102_106,44.0,44.0,44.0,44.0,44.0,44.0,44.0,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,106,102_106,59.0,59.0,59.0,59.0,59.0,59.0,59.0,3199.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106,102,102_106,46.0,46.0,46.0,46.0,46.0,46.0,46.0,3199.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
6,2,6_2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2109.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
2,6,6_2,62.0,62.0,62.2,66.95238095238095,67.0,67.0,67.0,2109.0,-4.952380952380949,-4.952380952380949,-4.752380952380946,0.047619047619051,0.047619047619051,0.047619047619051,strangers
6,2,6_2,98.0,98.0,98.0,98.0,98.0,98.0,98.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
2,6,6_2,62.0,62.0,62.0,62.0,60.75,58.0,58.0,2520.0,0.0,0.0,0.0,-1.25,-4.0,-4.0,strangers
24,23,24_23,83.95,82.7,82.3,82.76190476190476,81.4,76.05,82.9,2066.0,1.1880952380952436,-0.061904761904756356,-0.46190476190476204,-1.3619047619047535,-6.711904761904762,0.1380952380952465,strangers
23,24,24_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
70,62,70_62,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2343.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
62,70,70_62,23.0,23.0,23.0,23.0,23.0,23.25,27.35,2343.0,0.0,0.0,0.0,0.0,0.25,4.350000000000001,strangers
70,62,70_62,88.0,88.0,88.0,88.0,88.0,88.0,88.0,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
62,70,70_62,51.0,51.0,51.0,51.0,51.0,51.0,51.0,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
70,62,70_62,91.0,91.0,91.0,91.0,91.0,91.0,91.0,2805.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
62,70,70_62,53.5,32.3,23.0,23.0,23.0,23.0,23.0,2805.0,30.5,9.299999999999997,0.0,0.0,0.0,0.0,strangers
70,63,70_63,82.0,82.0,82.0,82.0,82.0,82.0,82.0,2186.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
63,70,70_63,56.75,59.45,59.0,59.0,59.0,59.0,59.0,2186.0,-2.25,0.45000000000000284,0.0,0.0,0.0,0.0,strangers
26,27,26_27,58.0,58.0,58.0,58.0,58.0,60.85,64.15,2266.0,0.0,0.0,0.0,0.0,2.8500000000000014,6.150000000000006,strangers
27,26,26_27,26.0,26.0,26.0,26.0,26.0,26.0,26.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26,27,26_27,94.05,99.75,100.0,100.0,100.0,100.0,100.0,2170.0,-5.950000000000003,-0.25,0.0,0.0,0.0,0.0,strangers
27,26,26_27,60.0,60.0,60.0,60.0,60.0,60.0,60.7,2170.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000028,strangers
26,27,26_27,77.0,77.0,77.0,77.0,77.0,77.0,77.0,3310.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
27,26,26_27,67.0,67.0,67.0,67.0,67.0,67.0,67.0,3310.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26,27,26_27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
27,26,26_27,82.0,82.0,82.0,82.0,82.05,83.0,83.3,2074.0,0.0,0.0,0.0,0.04999999999999716,1.0,1.2999999999999972,strangers
26,27,26_27,52.0,52.0,52.0,52.0,52.0,52.0,52.0,2077.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
27,26,26_27,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2077.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
28,22,28_22,55.0,55.0,55.1,56.0,56.0,64.55,78.2,2706.0,-1.0,-1.0,-0.8999999999999986,0.0,8.549999999999997,22.200000000000003,strangers
22,28,28_22,75.9,76.0,76.0,76.0,76.0,76.0,76.0,2706.0,-0.09999999999999432,0.0,0.0,0.0,0.0,0.0,strangers
43,46,43_46,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2837.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46,43,43_46,55.9,55.0,55.0,55.0,55.0,55.0,55.0,2837.0,0.8999999999999986,0.0,0.0,0.0,0.0,0.0,strangers
43,46,43_46,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46,43,43_46,43.0,43.0,43.0,43.0,43.0,43.0,43.0,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,103,102_103,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2093.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
103,102,102_103,73.0,73.0,73.0,70.14285714285714,69.25,58.75,58.0,2093.0,2.857142857142861,2.857142857142861,2.857142857142861,-0.8928571428571388,-11.392857142857139,-12.142857142857139,strangers
102,103,102_103,56.0,58.9,62.0,62.0,62.0,62.0,62.0,2917.0,-6.0,-3.1000000000000014,0.0,0.0,0.0,0.0,strangers
103,102,102_103,89.35,89.0,89.0,89.13793103448276,88.15,87.0,87.0,2917.0,0.21206896551723275,-0.13793103448276156,-0.13793103448276156,-0.9879310344827559,-2.1379310344827616,-2.1379310344827616,strangers
102,103,102_103,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2719.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
103,102,102_103,74.0,74.0,65.9,63.0,63.0,63.0,63.0,2719.0,11.0,11.0,2.9000000000000057,0.0,0.0,0.0,strangers
102,103,102_103,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
103,102,102_103,85.0,86.25,72.35,35.9,20.55,10.55,22.4,2016.0,49.1,50.35,36.449999999999996,-15.349999999999998,-25.349999999999998,-13.5,strangers
6,3,6_3,36.0,36.0,36.0,36.0,36.0,36.0,36.4,2352.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,strangers
3,6,6_3,70.89473684210526,56.05263157894737,41.73684210526316,41.0,41.5,49.55,48.25,2352.0,29.89473684210526,15.05263157894737,0.7368421052631575,0.5,8.549999999999997,7.25,strangers
6,3,6_3,48.0,48.0,48.0,48.0,48.0,48.0,48.0,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
3,6,6_3,100.0,62.8,39.9,43.125,49.0,59.0,23.95,2440.0,56.875,19.674999999999997,-3.2250000000000014,5.875,15.875,-19.175,strangers
6,3,6_3,59.0,59.0,59.0,59.0,59.0,59.0,59.0,2886.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
3,6,6_3,58.6,82.0,82.0,82.0,82.0,82.0,82.0,2886.0,-23.4,0.0,0.0,0.0,0.0,0.0,strangers
103,110,103_110,23.0,23.0,22.15,22.0,22.0,22.0,22.0,2057.0,1.0,1.0,0.14999999999999858,0.0,0.0,0.0,strangers
110,103,103_110,15.0,15.0,15.0,15.0,14.5,13.0,13.0,2057.0,0.0,0.0,0.0,-0.5,-2.0,-2.0,strangers
103,110,103_110,20.0,57.1,72.0,72.0,72.0,72.35,75.75,2588.0,-52.0,-14.899999999999999,0.0,0.0,0.3499999999999943,3.75,strangers
110,103,103_110,15.0,14.05,13.0,13.0,13.0,13.0,12.05,2588.0,2.0,1.0500000000000007,0.0,0.0,0.0,-0.9499999999999993,strangers
103,110,103_110,71.0,71.0,71.0,69.33333333333333,68.15,69.0,75.4,2033.0,1.6666666666666714,1.6666666666666714,1.6666666666666714,-1.183333333333323,-0.3333333333333286,6.066666666666677,strangers
110,103,103_110,16.0,15.2,15.0,15.0,15.0,10.55,12.45,2033.0,1.0,0.1999999999999993,0.0,0.0,-4.449999999999999,-2.5500000000000007,strangers
103,110,103_110,63.3,70.0,70.0,70.0,70.0,70.0,70.0,2370.0,-6.700000000000003,0.0,0.0,0.0,0.0,0.0,strangers
110,103,103_110,11.05,11.0,11.0,11.0,11.0,11.0,11.0,2370.0,0.05000000000000071,0.0,0.0,0.0,0.0,0.0,strangers
103,110,103_110,84.0,85.95,85.5,65.61904761904762,65.0,65.0,64.95,2139.0,18.38095238095238,20.330952380952382,19.88095238095238,-0.6190476190476204,-0.6190476190476204,-0.6690476190476176,strangers
110,103,103_110,6.55,8.0,8.0,8.0,9.2,10.0,10.0,2139.0,-1.4500000000000002,0.0,0.0,1.1999999999999993,2.0,2.0,strangers
83,89,83_89,31.0,31.0,33.0,43.96875,27.65,20.0,20.0,3178.0,-12.96875,-12.96875,-10.96875,-16.31875,-23.96875,-23.96875,strangers
89,83,83_89,49.0,49.0,49.0,49.0,49.0,49.0,49.0,3178.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
83,89,83_89,93.0,93.0,92.15,82.88,77.5,77.0,72.6,2511.0,10.120000000000005,10.120000000000005,9.27000000000001,-5.3799999999999955,-5.8799999999999955,-10.280000000000001,strangers
89,83,83_89,56.0,56.0,56.0,56.0,56.0,56.0,56.0,2511.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65,68,65_68,0.0,0.0,0.0,0.0,3.1,24.35,24.0,2781.0,0.0,0.0,0.0,3.1,24.35,24.0,strangers
68,65,65_68,49.0,49.0,48.9,43.67857142857143,44.0,44.0,44.05,2781.0,5.321428571428569,5.321428571428569,5.221428571428568,0.3214285714285694,0.3214285714285694,0.37142857142856656,strangers
65,68,65_68,37.0,37.0,37.0,37.0,37.0,37.0,37.0,2820.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
68,65,65_68,50.0,50.0,50.0,50.0,50.0,50.0,49.45,2820.0,0.0,0.0,0.0,0.0,0.0,-0.5499999999999972,strangers
2,5,2_5,70.0,70.0,70.0,70.0,70.0,70.0,70.0,2139.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
5,2,2_5,60.0,60.0,60.0,60.0,60.0,60.0,60.0,2139.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
2,5,2_5,68.0,68.0,68.0,68.0,68.0,68.0,68.0,2088.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
5,2,2_5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,2088.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
2,5,2_5,53.0,53.0,56.75,65.97058823529412,66.0,66.0,66.0,3390.0,-12.970588235294116,-12.970588235294116,-9.220588235294116,0.029411764705884025,0.029411764705884025,0.029411764705884025,strangers
5,2,2_5,53.0,53.0,53.0,53.0,53.0,53.0,53.0,3390.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
2,5,2_5,74.0,74.0,74.0,74.0,74.0,74.0,74.0,2132.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
5,2,2_5,63.0,63.0,63.0,63.0,64.15,68.0,68.0,2132.0,0.0,0.0,0.0,1.1500000000000057,5.0,5.0,strangers
60,64,60_64,71.0,71.0,71.0,71.0,71.0,71.0,71.0,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
64,60,60_64,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106,109,106_109,65.0,65.0,65.0,65.0,65.0,65.0,65.0,2332.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
109,106,106_109,75.0,75.0,75.0,75.0,75.0,75.0,67.4,2332.0,0.0,0.0,0.0,0.0,0.0,-7.599999999999994,strangers
86,84,86_84,57.0,57.0,57.0,57.0,57.0,57.0,57.8,2396.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999972,strangers
84,86,86_84,13.0,13.1,15.0,15.0,15.0,15.0,15.0,2396.0,-2.0,-1.9000000000000004,0.0,0.0,0.0,0.0,strangers
86,90,86_90,70.3,70.7,68.6,68.0,68.0,68.0,68.0,2269.0,2.299999999999997,2.700000000000003,0.5999999999999943,0.0,0.0,0.0,strangers
90,86,86_90,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2269.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26,30,26_30,56.0,56.0,56.0,56.0,56.0,56.0,56.0,2224.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
30,26,26_30,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2224.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26,30,26_30,58.0,58.0,58.0,58.0,58.0,58.0,58.0,5029.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
30,26,26_30,24.0,24.0,24.0,24.0,24.0,24.0,24.0,5029.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60,65,60_65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65,60,60_65,0.0,0.0,0.0,0.0,0.0,1.05,4.0,2027.0,0.0,0.0,0.0,0.0,1.05,4.0,strangers
60,65,60_65,84.0,84.0,84.0,84.0,84.0,84.0,84.0,2628.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65,60,60_65,57.0,57.0,57.0,57.0,57.0,57.0,57.0,2628.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60,65,60_65,84.0,84.0,84.0,84.0,84.0,84.0,84.0,2128.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65,60,60_65,57.0,57.0,57.0,57.0,57.0,57.0,57.0,2128.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60,65,60_65,84.0,84.0,84.0,84.0,84.0,84.0,84.0,2199.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
65,60,60_65,57.0,57.0,57.0,57.81818181818182,69.0,70.0,70.0,2199.0,-0.8181818181818201,-0.8181818181818201,-0.8181818181818201,11.18181818181818,12.18181818181818,12.18181818181818,strangers
65,69,65_69,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2508.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
69,65,65_69,57.0,57.0,57.0,57.0,59.35,63.35,63.0,2508.0,0.0,0.0,0.0,2.3500000000000014,6.350000000000001,6.0,strangers
65,69,65_69,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
