clip,gap_length_x,condition_x,dyad,turn_num,turn_start_msec,video_num,laughter,Unnamed: 8,Unnamed: 9,subID,partnerID,timepoint,connection,connection_change,gap_length_y,speaker,condition_y
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,6.0,7.0,1_after,16.0,0.0,2365.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,7.0,6.0,1_after,22.0,0.0,2365.0,self,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,6.0,7.0,2_after,16.0,0.0,2365.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,7.0,6.0,2_after,25.75,3.75,2365.0,self,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,6.0,7.0,3_after,16.0,0.0,2365.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,7.0,6.0,3_after,31.0,9.0,2365.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,6.0,7.0,long_gap,25.0,0.0,2399.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,7.0,6.0,long_gap,31.0,0.0,2399.0,other,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,6.0,7.0,1_before,25.0,0.0,2399.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,7.0,6.0,1_before,31.0,0.0,2399.0,other,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,6.0,7.0,2_before,25.0,0.0,2399.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,7.0,6.0,2_before,31.0,0.0,2399.0,other,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,6.0,7.0,3_before,17.15,-7.850000000000001,2399.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,7.0,6.0,3_before,31.0,0.0,2399.0,other,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,6.0,7.0,1_after,25.0,0.0,2399.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,7.0,6.0,1_after,31.0,0.0,2399.0,other,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,6.0,7.0,2_after,25.0,0.0,2399.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,7.0,6.0,2_after,31.0,0.0,2399.0,other,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,6.0,7.0,3_after,25.0,0.0,2399.0,self,strangers
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,,7.0,6.0,3_after,31.0,0.0,2399.0,other,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,6.0,7.0,long_gap,40.0,0.0,3003.0,self,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,7.0,6.0,long_gap,56.8,0.0,3003.0,other,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,6.0,7.0,1_before,40.0,0.0,3003.0,self,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,7.0,6.0,1_before,51.3,-5.5,3003.0,other,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,6.0,7.0,2_before,40.0,0.0,3003.0,self,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,7.0,6.0,2_before,51.0,-5.799999999999997,3003.0,other,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,6.0,7.0,3_before,40.0,0.0,3003.0,self,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,7.0,6.0,3_before,51.0,-5.799999999999997,3003.0,other,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,6.0,7.0,1_after,40.0,0.0,3003.0,self,strangers
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,,7.0,6.0,1_after,57.0,0.2000000000000028,3003.0,other,strangers
