subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,speaker,turn_num
7.0,6.0,6_7,2_after,57.0,0.20000000000000284,3003.0,other,96.0
6.0,7.0,6_7,3_after,40.0,0.0,3003.0,self,96.0
7.0,6.0,6_7,3_after,57.0,0.20000000000000284,3003.0,other,96.0
6.0,7.0,6_7,long_gap,30.77777777777778,0.0,4523.0,self,112.0
7.0,6.0,6_7,long_gap,57.0,0.0,4523.0,other,112.0
6.0,7.0,6_7,1_before,48.0,17.22222222222222,4523.0,self,112.0
7.0,6.0,6_7,1_before,57.0,0.0,4523.0,other,112.0
6.0,7.0,6_7,2_before,48.0,17.22222222222222,4523.0,self,112.0
7.0,6.0,6_7,2_before,57.0,0.0,4523.0,other,112.0
6.0,7.0,6_7,3_before,48.0,17.22222222222222,4523.0,self,112.0
7.0,6.0,6_7,3_before,57.0,0.0,4523.0,other,112.0
6.0,7.0,6_7,1_after,30.0,-0.7777777777777786,4523.0,self,112.0
7.0,6.0,6_7,1_after,60.9,3.8999999999999986,4523.0,other,112.0
6.0,7.0,6_7,2_after,30.0,-0.7777777777777786,4523.0,self,112.0
7.0,6.0,6_7,2_after,62.0,5.0,4523.0,other,112.0
6.0,7.0,6_7,3_after,30.0,-0.7777777777777786,4523.0,self,112.0
7.0,6.0,6_7,3_after,62.0,5.0,4523.0,other,112.0
6.0,7.0,6_7,long_gap,30.0,0.0,2388.0,self,122.0
7.0,6.0,6_7,long_gap,62.0,0.0,2388.0,other,122.0
6.0,7.0,6_7,1_before,30.0,0.0,2388.0,self,122.0
7.0,6.0,6_7,1_before,62.0,0.0,2388.0,other,122.0
6.0,7.0,6_7,2_before,30.0,0.0,2388.0,self,122.0
7.0,6.0,6_7,2_before,62.0,0.0,2388.0,other,122.0
6.0,7.0,6_7,3_before,30.0,0.0,2388.0,self,122.0
7.0,6.0,6_7,3_before,62.0,0.0,2388.0,other,122.0
6.0,7.0,6_7,1_after,30.0,0.0,2388.0,self,122.0
7.0,6.0,6_7,1_after,62.0,0.0,2388.0,other,122.0
6.0,7.0,6_7,2_after,30.0,0.0,2388.0,self,122.0
7.0,6.0,6_7,2_after,62.0,0.0,2388.0,other,122.0
6.0,7.0,6_7,3_after,30.0,0.0,2388.0,self,122.0
7.0,6.0,6_7,3_after,62.0,0.0,2388.0,other,122.0
62.0,60.0,60_62,long_gap,50.0,0.0,2066.0,other,51.0
60.0,62.0,60_62,long_gap,48.0,0.0,2066.0,self,51.0
62.0,60.0,60_62,1_before,50.0,0.0,2066.0,other,51.0
60.0,62.0,60_62,1_before,47.65,-0.3500000000000014,2066.0,self,51.0
62.0,60.0,60_62,2_before,49.15,-0.8500000000000014,2066.0,other,51.0
60.0,62.0,60_62,2_before,46.0,-2.0,2066.0,self,51.0
62.0,60.0,60_62,3_before,46.55,-3.450000000000003,2066.0,other,51.0
60.0,62.0,60_62,3_before,46.0,-2.0,2066.0,self,51.0
62.0,60.0,60_62,1_after,50.0,0.0,2066.0,other,51.0
60.0,62.0,60_62,1_after,40.15,-7.850000000000001,2066.0,self,51.0
62.0,60.0,60_62,2_after,50.0,0.0,2066.0,other,51.0
60.0,62.0,60_62,2_after,39.05,-8.950000000000003,2066.0,self,51.0
62.0,60.0,60_62,3_after,50.0,0.0,2066.0,other,51.0
60.0,62.0,60_62,3_after,39.0,-9.0,2066.0,self,51.0
62.0,60.0,60_62,long_gap,50.0,0.0,3082.0,other,63.0
